question_id,type,mean_score
0,testing,2374.2545454545457
1,testing,2197.36
2,testing,2120.0
3,testing,2258.8
4,testing,2104.5333333333333
5,testing,1564.112359550562
6,testing,2225.170731707317
7,testing,2140.9565217391305
8,testing,1752.3151515151515
9,testing,2303.344262295082
10,testing,2125.0309278350514
11,testing,2157.732283464567
12,testing,2239.609756097561
13,testing,2224.3764705882354
14,testing,2257.156626506024
15,testing,2247.675675675676
16,testing,2161.2380952380954
17,testing,2191.4105263157894
18,testing,2214.88
19,testing,2197.809523809524
20,testing,2263.6923076923076
21,testing,2065.7391304347825
22,testing,2185.2100840336134
23,testing,2096.102564102564
24,testing,2371.5384615384614
25,testing,2134.840579710145
26,testing,2193.6385542168673
27,testing,2357.3818181818183
28,testing,2148.190476190476
29,testing,2154.4086021505377
30,testing,2259.710144927536
31,testing,2361.6296296296296
32,testing,2189.5813953488373
33,testing,2205.4901960784314
34,testing,2107.8581560283687
35,testing,1666.4189886480908
36,testing,2081.46835443038
37,testing,1757.0545454545454
38,testing,2228.831683168317
39,testing,2260.779220779221
40,testing,2287.0153846153844
41,testing,2208.6666666666665
42,testing,2255.68
43,testing,2140.256880733945
44,testing,1630.6811819595646
45,testing,2297.8285714285716
46,testing,2253.090909090909
47,testing,1715.4920100925146
48,testing,2300.27397260274
49,testing,2208.94623655914
50,testing,2208.96
51,testing,2286.1463414634145
52,testing,2171.9633027522937
53,testing,2148.4601769911505
54,testing,2353.6507936507937
55,testing,1755.091295116773
56,testing,1731.3906810035842
57,testing,2329.8888888888887
58,testing,2490.488888888889
59,testing,1875.3151364764267
60,testing,2312.8358208955224
61,testing,2348.4444444444443
62,testing,1714.9571984435797
63,testing,2278.0
64,testing,1686.344827586207
65,testing,2200.659793814433
66,testing,2413.5849056603774
67,testing,1789.6639118457301
68,testing,2235.8473282442746
69,testing,2378.3050847457625
70,testing,1951.6045627376425
71,testing,2139.862068965517
72,testing,2355.4666666666667
73,testing,1788.077134986226
74,testing,1428.3244882486733
75,testing,2388.2181818181816
76,testing,1755.746835443038
77,testing,2125.170731707317
78,testing,2402.867924528302
79,testing,1750.3086680761098
80,testing,1486.1818181818182
81,testing,2317.7
82,testing,2133.795918367347
83,testing,2172.938271604938
84,testing,2319.876923076923
85,testing,1957.3025404157045
86,testing,1780.9406175771971
87,testing,2404.072727272727
88,testing,1657.1773584905661
