question_id,type,mean_score
0,testing,-1.440728549299569
1,testing,-1.921908509497549
2,testing,-1.8169192991394927
3,testing,-1.5332972515060241
4,testing,-1.8506686970338984
5,testing,-1.9875162073663855
6,testing,-1.6061023530505953
7,testing,-2.216708568816489
8,testing,-1.924902939214939
9,testing,-1.5027514260912698
10,testing,-2.0104501761642157
11,testing,-1.7194745463709677
12,testing,-1.4223103350903614
13,testing,-1.7796953573994252
14,testing,-1.6047661013719512
15,testing,-1.3869307668585527
16,testing,-1.928302143895349
17,testing,-1.5353242607526882
18,testing,-1.6657050637637867
19,testing,-1.8649391351744187
20,testing,-1.5933584081064356
21,testing,-1.8957669650080906
22,testing,-1.8688137590392562
23,testing,-1.6380229217327194
24,testing,-1.4087818287037037
25,testing,-2.0391743977864585
26,testing,-1.3129763719512195
27,testing,-1.2389922560307018
28,testing,-1.8031496422313085
29,testing,-1.5853102663730054
30,testing,-1.7215077574823943
31,testing,-1.4398716517857142
32,testing,-1.3386876723345589
33,testing,-1.9236527229975728
34,testing,-1.8308076297535616
35,testing,-2.2095603368615593
36,testing,-2.057429387019231
37,testing,-2.015270756740196
38,testing,-1.3971171476403061
39,testing,-1.6547480715981013
40,testing,-1.6599312397971082
41,testing,-1.5742361886160714
42,testing,-1.5492403104707793
43,testing,-1.7646342157160195
44,testing,-2.1582638718011813
45,testing,-1.554226727552817
46,testing,-1.6601871538765822
47,testing,-2.100814105553219
48,testing,-1.406086570338199
49,testing,-1.806236349126344
50,testing,-1.2390168425324675
51,testing,-1.4832704634893508
52,testing,-1.8193755278716217
53,testing,-1.567193393049569
54,testing,-1.3466881385216347
55,testing,-1.6667382794041787
56,testing,-1.9592654473595075
57,testing,-1.2793323413745776
58,testing,-1.1933085123697917
59,testing,-1.7053024786666147
60,testing,-1.2725551829618567
61,testing,-1.5140904017857142
62,testing,-2.00008984375
63,testing,-1.4905132824861551
64,testing,-2.2214223774636928
65,testing,-1.1067485608552632
66,testing,-1.2546889693648726
67,testing,-1.9422454447685917
68,testing,-1.69224609375
69,testing,-1.3277041527532762
70,testing,-1.7578557711928637
71,testing,-1.5160381610576923
72,testing,-1.4299243745349703
73,testing,-1.937894178945807
74,testing,-1.5115114009315602
75,testing,-1.336034942091557
76,testing,-1.6680926550366357
77,testing,-1.6274353780864197
78,testing,-1.192050448330966
79,testing,-1.6690993711172817
80,testing,-1.9548053829082122
81,testing,-1.4400386103877314
82,testing,-1.9157936789772727
83,testing,-1.6873702037183544
84,testing,-1.3657661206794507
85,testing,-1.789693832397461
86,testing,-1.6362951396297833
87,testing,-1.210692288582785
88,testing,-2.1954049246651786
89,testing,-1.5769762958170117
90,testing,-1.2923123719262295
91,testing,-1.8696860151681287
92,testing,-1.7086029052734375
93,testing,-1.3216908013642723
94,testing,-1.4484279466711956
95,testing,-1.3061018050855893
96,testing,-1.4853559221540178
97,testing,-1.5207047001008065
98,testing,-2.089273637200921
99,testing,-1.4176016000600962
100,testing,-1.748236537964876
101,testing,-1.7573746390964673
102,testing,-1.186877869723136
103,testing,-1.4455372643849207
104,testing,-2.277649926357582
105,testing,-1.5007342634529903
106,testing,-1.7582423544337606
107,testing,-1.419360632183908
108,testing,-1.3474481301229508
109,testing,-1.7131377797067902
110,testing,-1.6694570688100963
111,testing,-1.4589220856967038
112,testing,-1.9384323646282327
113,testing,-1.9589107298114683
114,testing,-1.4513159579918034
115,testing,-1.8748801491477274
116,testing,-1.9326439426369864
117,testing,-1.2268112182617188
118,testing,-1.5324379081156716
119,testing,-1.243575694949128
120,testing,-1.177224574944912
