question_id,type,mean_score
0,testing,-1943.2
1,testing,-1807.36
2,testing,-1751.4202898550725
3,testing,-1862.1
4,testing,-1851.2
5,testing,-1786.0505617977528
6,testing,-1935.7560975609756
7,testing,-1893.9130434782608
8,testing,-1849.5757575757575
9,testing,-1924.2622950819673
10,testing,-2002.721649484536
11,testing,-1863.4645669291338
12,testing,-1830.5365853658536
13,testing,-1917.1764705882354
14,testing,-1970.987951807229
15,testing,-1852.7027027027027
16,testing,-1875.3333333333333
17,testing,-1894.9052631578948
18,testing,-1736.6
19,testing,-1827.2857142857142
20,testing,-1903.076923076923
21,testing,-1769.5652173913043
22,testing,-1881.6134453781513
23,testing,-1814.2307692307693
24,testing,-1952.6153846153845
25,testing,-1857.1014492753623
26,testing,-1912.1927710843374
27,testing,-1910.5454545454545
28,testing,-1885.6
29,testing,-1885.2903225806451
30,testing,-1936.4057971014493
31,testing,-1886.7407407407406
32,testing,-1974.3255813953488
33,testing,-1844.0392156862745
34,testing,-1726.6099290780141
35,testing,-1797.4076367389061
36,testing,-1685.012658227848
37,testing,-2122.009090909091
38,testing,-1883.7227722772277
39,testing,-1841.922077922078
40,testing,-1906.1538461538462
41,testing,-1910.142857142857
42,testing,-1965.3333333333333
43,testing,-1833.6146788990825
44,testing,-1819.3281493001555
45,testing,-1928.4
46,testing,-1821.1948051948052
47,testing,-1894.5534062237175
48,testing,-1835.6164383561643
49,testing,-1811.6559139784947
50,testing,-1893.9733333333334
51,testing,-1767.9024390243903
52,testing,-1803.926605504587
53,testing,-1788.8849557522124
54,testing,-1854.1587301587301
55,testing,-2125.9787685774945
56,testing,-1916.4874551971327
57,testing,-1815.888888888889
58,testing,-1992.5333333333333
59,testing,-1821.3697270471464
60,testing,-1810.2089552238806
61,testing,-1923.4814814814815
62,testing,-1782.988326848249
63,testing,-1820.2105263157894
64,testing,-1930.2758620689656
65,testing,-1934.020618556701
66,testing,-1924.1509433962265
67,testing,-2110.0826446280994
68,testing,-1850.1679389312976
69,testing,-1879.1186440677966
70,testing,-1722.768060836502
71,testing,-1859.1264367816093
72,testing,-1889.2666666666667
73,testing,-2119.5812672176307
74,testing,-1771.3328278999243
75,testing,-1864.0727272727272
76,testing,-2129.299578059072
77,testing,-1814.7317073170732
78,testing,-1907.245283018868
79,testing,-2131.6025369978856
80,testing,-1712.7636363636364
81,testing,-1906.05
82,testing,-1900.0
83,testing,-1923.2592592592594
84,testing,-1840.8
85,testing,-2038.2540415704389
86,testing,-1795.0593824228029
87,testing,-1909.0181818181818
88,testing,-1953.343396226415
89,testing,-1786.4469273743016
90,testing,-1899.322033898305
91,testing,-1689.8139534883721
92,testing,-1889.6494845360826
93,testing,-1811.641791044776
94,testing,-1746.1935483870968
95,testing,-1852.3055555555557
96,testing,-1859.225806451613
97,testing,-1843.3333333333333
98,testing,-1729.0718358038769
99,testing,-1857.968253968254
100,testing,-1865.107142857143
101,testing,-1916.0
102,testing,-1909.0714285714287
103,testing,-1870.8196721311476
104,testing,-1632.1368209255534
105,testing,-1791.5813953488373
106,testing,-1797.6470588235295
107,testing,-1816.0919540229886
108,testing,-1900.135593220339
109,testing,-1843.8481012658228
110,testing,-1836.7037037037037
111,testing,-1831.3513513513512
112,testing,-1929.486725663717
113,testing,-1920.0244399185335
114,testing,-1893.8620689655172
115,testing,-1814.8990825688074
116,testing,-1737.7142857142858
117,testing,-1872.6315789473683
118,testing,-1837.4153846153847
119,testing,-1866.590909090909
120,testing,-1840.7671232876712
121,testing,-1858.6666666666667
122,testing,-1798.16
123,testing,-1804.6857142857143
124,testing,-1835.5604395604396
125,testing,-1920.391304347826
126,testing,-1888.4745762711864
127,testing,-2112.222222222222
128,testing,-1776.672131147541
129,testing,-1848.111111111111
130,testing,-1744.8842105263159
131,testing,-1822.7070707070707
132,testing,-1891.418181818182
133,testing,-1872.2702702702702
134,testing,-1749.4120734908136
135,testing,-1838.9859154929577
136,testing,-1700.4559585492227
137,testing,-1934.4715447154472
138,testing,-1845.4285714285713
139,testing,-1812.876712328767
140,testing,-1739.9550561797753
141,testing,-1847.661971830986
142,testing,-2132.7494736842104
