question_id,type,mean_score
0,testing,-6.850484913793103
1,testing,-7.924938725490196
2,testing,-7.726109601449275
3,testing,-7.232680722891566
4,testing,-7.1004590395480225
5,testing,-6.375065928270042
6,testing,-7.002976190476191
7,testing,-7.189827127659575
8,testing,-7.531869283536586
9,testing,-6.871031746031746
10,testing,-7.537683823529412
11,testing,-7.153603830645161
12,testing,-7.188441265060241
13,testing,-7.593390804597701
14,testing,-7.140053353658536
15,testing,-7.090460526315789
16,testing,-7.692223837209302
17,testing,-7.121807795698925
18,testing,-7.801776960784314
19,testing,-7.261264534883721
20,testing,-7.9566831683168315
21,testing,-7.569604571197411
22,testing,-8.018982438016529
23,testing,-6.979304635761589
24,testing,-6.565972222222222
25,testing,-8.03342013888889
26,testing,-7.117949695121951
27,testing,-6.425438596491228
28,testing,-7.85338785046729
29,testing,-7.092253989361702
30,testing,-7.243617957746479
31,testing,-6.604352678571429
32,testing,-7.020955882352941
33,testing,-7.726941747572815
34,testing,-8.164177389705882
35,testing,-7.085299059139785
36,testing,-7.327123397435898
37,testing,-7.725456154684096
38,testing,-7.279655612244898
39,testing,-7.371242088607595
40,testing,-7.212686567164179
41,testing,-7.219308035714286
42,testing,-6.6456980519480515
43,testing,-7.696450242718447
44,testing,-7.732160433070866
45,testing,-7.069102112676056
46,testing,-7.218947784810126
47,testing,-7.52035438961827
48,testing,-7.4868421052631575
49,testing,-7.780745967741935
50,testing,-6.6613230519480515
51,testing,-6.917596726190476
52,testing,-7.691863738738738
53,testing,-7.307785560344827
54,testing,-7.316826923076923
55,testing,-7.663621471774194
56,testing,-7.64431034990575
57,testing,-6.852195945945946
58,testing,-6.347005208333333
59,testing,-7.570331982543641
60,testing,-6.928308823529412
61,testing,-6.727399553571429
62,testing,-6.33121875
63,testing,-6.821004746835443
64,testing,-7.478799273858921
65,testing,-6.827960526315789
66,testing,-7.035011574074074
67,testing,-7.657753164556962
68,testing,-8.3535
69,testing,-7.109879032258065
70,testing,-7.639021688432836
71,testing,-6.673763736263736
72,testing,-7.223958333333333
73,testing,-7.624485759493671
74,testing,-5.85278831700931
75,testing,-6.687774122807017
76,testing,-7.683178857715431
77,testing,-7.22608024691358
78,testing,-6.872159090909091
79,testing,-7.650978915662651
80,testing,-5.996231336140888
81,testing,-7.787229938271605
82,testing,-7.356218434343434
83,testing,-6.455300632911392
84,testing,-6.8887310606060606
85,testing,-7.585170200892857
86,testing,-7.724195710455764
87,testing,-6.960252192982456
88,testing,-7.632645089285714
89,testing,-6.2577075755456075
90,testing,-6.925204918032787
91,testing,-7.566063596491228
