question_id,type,mean_score
0,testing,-7245.090909090909
1,testing,-5234.64
2,testing,-4693.391304347826
3,testing,-5826.1
4,testing,-4145.2
5,testing,-3090.85393258427
6,testing,-5726.536585365854
7,testing,-5477.478260869565
8,testing,-3388.0969696969696
9,testing,-6808.131147540984
10,testing,-5422.59793814433
11,testing,-4847.55905511811
12,testing,-5753.951219512195
13,testing,-5663.341176470588
14,testing,-5914.313253012048
15,testing,-6088.324324324324
16,testing,-5755.714285714285
17,testing,-5493.473684210527
18,testing,-5154.72
19,testing,-5732.952380952381
20,testing,-5305.153846153846
21,testing,-3405.0836120401336
22,testing,-4928.0672268907565
23,testing,-4450.358974358975
24,testing,-7492.615384615385
25,testing,-4584.405797101449
26,testing,-5753.542168674699
27,testing,-7255.563636363637
28,testing,-5059.580952380952
29,testing,-5542.623655913979
30,testing,-6316.173913043478
31,testing,-7279.851851851852
32,testing,-5779.813953488372
33,testing,-5129.64705882353
34,testing,-4541.730496453901
35,testing,-2927.8596491228072
36,testing,-4266.126582278481
37,testing,-3392.909090909091
38,testing,-5347.564356435643
39,testing,-6000.103896103896
40,testing,-6548.0615384615385
41,testing,-5893.238095238095
42,testing,-5925.76
43,testing,-4939.963302752293
44,testing,-2992.1244167962673
45,testing,-6291.771428571428
46,testing,-5932.467532467533
47,testing,-2870.3515559293523
48,testing,-6185.315068493151
49,testing,-5371.784946236559
50,testing,-6152.8533333333335
51,testing,-5712.878048780488
52,testing,-5003.082568807339
53,testing,-4991.362831858407
54,testing,-6671.238095238095
55,testing,-3384.7133757961783
56,testing,-2874.8172043010754
57,testing,-6218.222222222223
58,testing,-8268.444444444445
59,testing,-3398.5707196029775
60,testing,-6428.417910447762
61,testing,-7311.555555555556
62,testing,-3628.2334630350197
63,testing,-6010.315789473684
64,testing,-3731.7586206896553
65,testing,-5477.855670103093
66,testing,-7427.320754716981
67,testing,-3505.4765840220384
68,testing,-4819.358778625954
69,testing,-6971.796610169492
70,testing,-3707.9239543726235
71,testing,-5574.528735632184
72,testing,-6864.4
73,testing,-3510.413223140496
74,testing,-2653.5314632297195
75,testing,-7196.218181818182
76,testing,-3381.46835443038
77,testing,-5722.048780487805
78,testing,-7420.679245283019
79,testing,-3383.678646934461
80,testing,-2958.89696969697
81,testing,-5944.1
82,testing,-5229.7959183673465
83,testing,-5874.864197530864
84,testing,-6581.538461538462
85,testing,-3316.526558891455
86,testing,-3276.978622327791
87,testing,-7277.090909090909
88,testing,-3540.588679245283
89,testing,-2542.855865921788
90,testing,-6946.033898305085
91,testing,-4194.6511627906975
92,testing,-5452.948453608247
93,testing,-6435.462686567164
94,testing,-5431.311827956989
95,testing,-4488.388888888889
96,testing,-6722.8387096774195
97,testing,-6809.466666666666
98,testing,-2785.286202964652
99,testing,-6717.714285714285
100,testing,-4966.857142857143
101,testing,-5436.936170212766
102,testing,-7182.571428571428
103,testing,-6734.0327868852455
104,testing,-3128.788732394366
105,testing,-5684.7441860465115
106,testing,-4792.201680672269
107,testing,-5546.390804597701
108,testing,-6946.3050847457625
109,testing,-5813.46835443038
110,testing,-5007.777777777777
111,testing,-6172.0
112,testing,-5079.079646017699
113,testing,-2918.224032586558
114,testing,-6992.551724137931
115,testing,-5039.706422018348
116,testing,-4342.025974025974
117,testing,-7126.736842105263
118,testing,-6513.2307692307695
119,testing,-5643.0
120,testing,-6148.164383561644
121,testing,-5936.2962962962965
122,testing,-4541.973333333333
123,testing,-6252.0
124,testing,-5443.780219780219
125,testing,-5561.565217391304
126,testing,-6997.28813559322
127,testing,-3516.1555555555556
128,testing,-3707.5737704918033
129,testing,-6207.222222222223
130,testing,-5400.926315789474
131,testing,-5302.222222222223
132,testing,-7253.818181818182
133,testing,-6250.054054054054
134,testing,-2902.51968503937
135,testing,-6278.760563380281
136,testing,-3993.7823834196893
137,testing,-2864.183296378418
138,testing,-6360.8
139,testing,-4407.068493150685
140,testing,-4288.898876404494
141,testing,-6287.887323943662
142,testing,-3381.658947368421
143,testing,-6166.210526315789
144,testing,-6877.466666666666
145,testing,-5228.0
146,testing,-2967.103448275862
147,testing,-7473.207547169812
148,testing,-5386.869565217391
149,testing,-5122.467289719626
150,testing,-5881.463414634146
151,testing,-6981.241379310345
152,testing,-5685.793103448276
153,testing,-5793.679012345679
154,testing,-3658.197424892704
155,testing,-5382.30303030303
156,testing,-6847.741935483871
157,testing,-7936.333333333333
158,testing,-5005.176470588235
159,testing,-6456.119402985075
160,testing,-3664.6129032258063
161,testing,-2745.971252566735
162,testing,-6098.082191780822
163,testing,-5660.8
164,testing,-3173.0135746606334
165,testing,-5866.93670886076
166,testing,-4406.20979020979
167,testing,-3022.0863787375415
168,testing,-6695.619047619048
169,testing,-4936.424778761062
170,testing,-5039.433628318584
171,testing,-7411.622641509434
172,testing,-5750.476190476191
173,testing,-6211.733333333334
174,testing,-7102.714285714285
175,testing,-4179.933701657458
176,testing,-3145.8425196850394
177,testing,-6094.1621621621625
178,testing,-6057.493333333333
179,testing,-3018.5197934595526
180,testing,-5793.283950617284
181,testing,-5509.217391304348
182,testing,-2853.688338493292
183,testing,-6591.384615384615
184,testing,-5408.851063829788
185,testing,-4563.890410958904
186,testing,-6708.5
187,testing,-5191.757575757576
188,testing,-4685.78102189781
189,testing,-7190.857142857143
190,testing,-7712.0
191,testing,-5319.695238095238
192,testing,-7015.186440677966
193,testing,-3504.0440771349863
194,testing,-5573.010989010989
195,testing,-6755.354838709677
196,testing,-5297.118279569892
197,testing,-5614.577777777778
198,testing,-6156.712328767123
199,testing,-4328.888888888889
200,deployment,-4964.218181818182
201,deployment,-4518.781456953642
202,deployment,-5632.727272727273
203,deployment,-5252.0
204,deployment,-3832.6697674418606
205,deployment,-5725.033707865168
206,deployment,-5441.531914893617
207,deployment,-3219.9856115107914
208,deployment,-4244.521739130435
209,deployment,-3265.118733509235
210,deployment,-3749.6470588235293
211,deployment,-6819.2786885245905
212,deployment,-3245.9610894941634
213,deployment,-6140.860759493671
214,deployment,-6582.75
215,deployment,-7330.618181818182
216,deployment,-3181.219589257504
217,deployment,-3971.7853658536587
218,deployment,-6876.666666666667
219,deployment,-7873.306122448979
220,deployment,-3245.15625
221,deployment,-3222.3119266055046
222,deployment,-5278.171428571429
223,deployment,-5815.15294117647
224,deployment,-4205.420765027322
225,deployment,-3854.0550458715597
226,deployment,-4434.805194805195
227,deployment,-4499.404255319149
228,deployment,-8376.363636363636
229,deployment,-3326.7272727272725
230,deployment,-8297.6
231,deployment,-3234.720588235294
232,deployment,-6474.823529411765
233,deployment,-5905.882352941177
234,deployment,-3353.9827586206898
235,deployment,-3448.8216216216215
236,deployment,-3206.9228007181327
237,deployment,-5867.555555555556
238,deployment,-4797.59349593496
239,deployment,-4520.839779005525
240,deployment,-6568.606060606061
241,deployment,-5675.218390804598
242,deployment,-5387.621052631579
243,deployment,-3793.6271186440677
244,deployment,-7467.471698113208
245,deployment,-5316.425531914893
246,deployment,-5062.733333333334
247,deployment,-5677.425287356322
248,deployment,-3728.070588235294
249,deployment,-5054.074074074074
250,deployment,-7816.64
251,deployment,-3970.4814814814813
