question_id,type,mean_score
0,testing,15722.763636363636
1,testing,14139.2
2,testing,13417.971014492754
3,testing,14215.0
4,testing,12535.466666666667
5,testing,11675.955056179775
6,testing,13961.560975609756
7,testing,14319.652173913044
8,testing,12041.115151515152
9,testing,14757.508196721312
10,testing,14072.082474226803
11,testing,14108.472440944883
12,testing,13808.585365853658
13,testing,14461.176470588236
14,testing,13991.518072289156
15,testing,14493.621621621622
16,testing,13951.42857142857
17,testing,13822.315789473685
18,testing,14004.48
19,testing,14245.52380952381
20,testing,14273.23076923077
21,testing,12425.311036789297
22,testing,13954.957983193277
23,testing,13075.48717948718
24,testing,15003.384615384615
25,testing,13290.666666666666
26,testing,14144.963855421687
27,testing,14910.545454545454
28,testing,13659.733333333334
29,testing,13774.79569892473
30,testing,14564.869565217392
31,testing,16123.555555555555
32,testing,13832.372093023256
33,testing,13699.764705882353
34,testing,13430.468085106382
35,testing,11480.800825593395
36,testing,13457.620253164558
37,testing,11962.50909090909
38,testing,14636.356435643564
39,testing,14332.467532467532
40,testing,14912.246153846154
41,testing,14540.761904761905
42,testing,14140.373333333333
43,testing,13486.97247706422
44,testing,11867.122861586315
45,testing,14645.714285714286
46,testing,14641.662337662337
47,testing,11163.047939444912
48,testing,15240.547945205479
49,testing,13443.440860215054
50,testing,14321.706666666667
51,testing,15033.170731707318
52,testing,13534.238532110092
53,testing,13271.787610619469
54,testing,15607.619047619048
55,testing,12335.354564755839
56,testing,11286.26523297491
57,testing,15338.888888888889
58,testing,15858.133333333333
59,testing,12542.253101736973
60,testing,15186.865671641792
61,testing,15954.074074074075
62,testing,13350.599221789884
63,testing,15137.894736842105
64,testing,13160.551724137931
65,testing,13898.226804123711
66,testing,15862.641509433963
67,testing,12047.779614325069
68,testing,13876.519083969466
69,testing,15509.42372881356
70,testing,12886.448669201522
71,testing,13792.735632183909
72,testing,15573.6
73,testing,12019.570247933885
74,testing,11547.912054586808
75,testing,15797.236363636364
76,testing,12342.143459915611
77,testing,14045.073170731708
78,testing,15881.358490566037
79,testing,12314.046511627907
80,testing,12459.224242424243
81,testing,15373.8
82,testing,14753.632653061224
83,testing,13827.753086419752
84,testing,15584.246153846154
85,testing,13139.842956120092
86,testing,11852.23752969121
87,testing,15771.054545454546
88,testing,13082.50566037736
89,testing,11899.253631284917
90,testing,15332.610169491525
91,testing,12898.976744186046
92,testing,13833.567010309278
93,testing,15141.492537313432
94,testing,14418.924731182795
95,testing,12967.111111111111
96,testing,15417.032258064517
97,testing,15017.866666666667
98,testing,11673.833523375142
99,testing,15549.20634920635
100,testing,13802.57142857143
101,testing,14250.212765957447
102,testing,15658.0
103,testing,15561.704918032787
104,testing,12051.959758551307
105,testing,14735.06976744186
106,testing,13686.588235294117
107,testing,13953.83908045977
108,testing,15778.440677966102
109,testing,14239.39240506329
110,testing,13770.074074074075
111,testing,15210.594594594595
