question_id,type,mean_score
0,testing,31286.109090909093
1,testing,27849.12
2,testing,27360.579710144928
3,testing,28446.8
4,testing,24452.088888888888
5,testing,18092.29213483146
6,testing,27450.926829268294
7,testing,26804.347826086956
8,testing,20588.266666666666
9,testing,29944.131147540982
10,testing,26677.60824742268
11,testing,27883.464566929135
12,testing,28218.146341463416
13,testing,28308.70588235294
14,testing,28348.530120481926
15,testing,29065.945945945947
16,testing,27658.285714285714
17,testing,27343.663157894738
18,testing,27822.24
19,testing,28095.619047619046
20,testing,28573.076923076922
21,testing,23756.20066889632
22,testing,27504.0
23,testing,26251.384615384617
24,testing,30756.30769230769
25,testing,26208.579710144928
26,testing,27073.927710843374
27,testing,30363.345454545455
28,testing,26900.876190476192
29,testing,27818.15053763441
30,testing,28736.463768115944
31,testing,31632.0
32,testing,27388.6511627907
33,testing,27740.392156862745
34,testing,26216.96453900709
35,testing,20283.88854489164
36,testing,26552.607594936708
37,testing,20235.78181818182
38,testing,28899.643564356436
39,testing,29017.35064935065
40,testing,29414.89230769231
41,testing,28754.666666666668
42,testing,28295.253333333334
43,testing,26735.70642201835
44,testing,18873.67962674961
45,testing,29711.085714285713
46,testing,29104.623376623378
47,testing,18892.285954583684
48,testing,30368.0
49,testing,27512.602150537634
50,testing,28710.826666666668
51,testing,29290.536585365855
52,testing,26756.256880733945
53,testing,27075.53982300885
54,testing,31145.14285714286
55,testing,20234.666666666668
56,testing,19671.297491039426
57,testing,31092.0
58,testing,32627.911111111112
59,testing,22660.36724565757
60,testing,30474.02985074627
61,testing,31444.74074074074
62,testing,21947.76653696498
63,testing,30336.42105263158
64,testing,20577.51724137931
65,testing,27349.938144329895
66,testing,32339.924528301886
67,testing,20481.454545454544
68,testing,27777.58778625954
69,testing,31312.813559322032
70,testing,23783.239543726235
71,testing,26546.94252873563
72,testing,31870.4
73,testing,20363.151515151516
74,testing,17632.157695223654
75,testing,32127.418181818182
76,testing,20266.194092827005
77,testing,26429.268292682926
78,testing,32409.962264150945
79,testing,20154.65539112051
80,testing,18607.58787878788
81,testing,30442.0
82,testing,26411.918367346938
83,testing,26464.0
84,testing,31382.153846153848
85,testing,23442.18013856813
86,testing,23196.959619952493
87,testing,31724.8
88,testing,19845.132075471698
89,testing,16377.716201117319
90,testing,31065.491525423728
91,testing,25822.325581395347
92,testing,27658.721649484534
93,testing,30769.194029850747
94,testing,28074.15053763441
95,testing,25915.666666666668
96,testing,31469.935483870966
97,testing,29572.8
98,testing,19594.052451539337
99,testing,31429.5873015873
100,testing,26301.285714285714
101,testing,27433.021276595744
102,testing,32002.85714285714
103,testing,30291.409836065573
104,testing,17453.39235412475
105,testing,29237.95348837209
106,testing,26912.941176470587
107,testing,26256.367816091955
108,testing,31822.64406779661
109,testing,28674.025316455696
110,testing,27057.333333333332
111,testing,30617.513513513513
112,testing,25836.88495575221
113,testing,19439.755600814664
114,testing,31378.48275862069
115,testing,27538.34862385321
116,testing,22546.909090909092
117,testing,31990.456140350878
118,testing,29887.507692307692
119,testing,28201.636363636364
120,testing,29766.575342465752
121,testing,27520.395061728395
122,testing,27696.533333333333
123,testing,30067.657142857144
124,testing,28011.956043956045
125,testing,27551.478260869564
126,testing,31202.169491525423
127,testing,20467.6
128,testing,21620.786885245903
129,testing,30544.444444444445
130,testing,27957.389473684212
131,testing,27811.070707070707
132,testing,32343.854545454546
133,testing,28065.297297297297
134,testing,20131.884514435696
135,testing,30677.183098591548
136,testing,25364.642487046633
137,testing,19690.938654841095
138,testing,30245.942857142858
139,testing,25539.178082191782
140,testing,27386.786516853932
141,testing,29892.957746478874
142,testing,20156.698947368423
143,testing,29027.78947368421
144,testing,31885.333333333332
145,testing,26941.551020408162
146,testing,19658.384236453203
147,testing,32274.716981132075
148,testing,27285.739130434784
149,testing,28116.48598130841
150,testing,29390.439024390245
151,testing,30083.03448275862
152,testing,27630.712643678162
153,testing,29746.962962962964
154,testing,20326.042918454936
155,testing,27711.515151515152
156,testing,31622.709677419356
157,testing,32202.0
158,testing,26853.78151260504
159,testing,30265.79104477612
160,testing,21098.967741935485
161,testing,18026.611909650925
162,testing,30107.616438356163
163,testing,27409.694117647057
164,testing,19137.37556561086
165,testing,29122.025316455696
166,testing,26484.923076923078
167,testing,18898.73754152824
168,testing,30984.634920634922
169,testing,27182.58407079646
170,testing,27138.973451327434
171,testing,32040.45283018868
172,testing,27956.190476190477
173,testing,29372.16
174,testing,31670.285714285714
175,testing,24202.43093922652
176,testing,21018.740157480315
177,testing,30315.675675675677
178,testing,28455.68
179,testing,21033.555938037865
180,testing,29808.59259259259
181,testing,27594.608695652172
182,testing,18529.007223942208
183,testing,31409.723076923077
184,testing,28065.531914893618
185,testing,26885.58904109589
186,testing,31182.5
187,testing,27348.848484848484
188,testing,26221.430656934306
189,testing,31946.85714285714
190,testing,31518.08
191,testing,29001.904761904763
192,testing,32026.57627118644
193,testing,20483.74655647383
194,testing,27641.846153846152
195,testing,30972.387096774193
196,testing,26622.795698924732
197,testing,27845.155555555557
198,testing,29782.35616438356
199,testing,24516.64197530864
200,deployment,27535.272727272728
201,deployment,24313.960264900663
202,deployment,27806.909090909092
203,deployment,28403.102040816328
204,deployment,23999.25581395349
205,deployment,28158.20224719101
