question_id,type,mean_score
0,testing,-16.290570175438596
1,testing,-16.136029411764707
2,testing,-15.822544642857142
3,testing,-15.93826219512195
4,testing,-15.32760989010989
5,testing,-12.575674019607844
6,testing,-15.350446428571429
7,testing,-15.46941489361702
8,testing,-14.485881024096386
9,testing,-16.01686507936508
10,testing,-15.30050505050505
11,testing,-15.961482558139535
12,testing,-15.697172619047619
13,testing,-15.768318965517242
14,testing,-16.34485294117647
15,testing,-15.50328947368421
16,testing,-16.361918604651162
17,testing,-16.295103092783506
18,testing,-15.575980392156863
19,testing,-16.213662790697676
20,testing,-16.32252358490566
21,testing,-14.751349667774086
22,testing,-15.886621900826446
23,testing,-16.30893987341772
24,testing,-15.969907407407407
25,testing,-15.565848214285714
26,testing,-15.958088235294118
27,testing,-16.224780701754387
28,testing,-16.260514018691588
29,testing,-16.610526315789475
30,testing,-15.997359154929578
31,testing,-16.241071428571427
32,testing,-16.647727272727273
33,testing,-15.731370192307692
34,testing,-15.258741258741258
35,testing,-13.852600411946447
36,testing,-15.2353515625
37,testing,-15.37393947963801
38,testing,-16.391990291262136
39,testing,-15.939477848101266
40,testing,-16.08535447761194
41,testing,-16.565406976744185
42,testing,-15.745941558441558
43,testing,-15.41891891891892
44,testing,-13.962257751937985
45,testing,-15.773003472222221
46,testing,-16.071993670886076
47,testing,-14.241629932829555
48,testing,-15.295833333333333
49,testing,-16.071052631578947
50,testing,-16.392045454545453
51,testing,-15.343377976190476
52,testing,-16.079954954954953
53,testing,-15.96929347826087
54,testing,-15.86923076923077
55,testing,-14.8919133192389
56,testing,-14.229567307692308
57,testing,-15.666385135135135
58,testing,-16.35904255319149
59,testing,-15.407716049382715
60,testing,-15.777173913043478
61,testing,-16.088169642857142
62,testing,-14.74469111969112
63,testing,-16.088141025641026
64,testing,-14.967681623931623
65,testing,-16.470328282828284
66,testing,-15.844318181818181
67,testing,-15.762842465753424
68,testing,-16.195958646616543
69,testing,-15.929303278688524
70,testing,-15.40117924528302
71,testing,-15.838483146067416
72,testing,-15.987903225806452
73,testing,-15.739383561643836
74,testing,-12.017174489023468
75,testing,-15.723684210526315
76,testing,-14.897058823529411
77,testing,-15.252232142857142
78,testing,-15.799431818181818
79,testing,-14.891710526315789
80,testing,-13.496884441087614
81,testing,-15.828506097560975
82,testing,-15.720625
83,testing,-15.856927710843374
84,testing,-15.890858208955224
85,testing,-14.97823275862069
86,testing,-15.0610963356974
87,testing,-15.75109649122807
88,testing,-15.249765917602996
89,testing,-10.841273716517858
90,testing,-15.914959016393443
91,testing,-15.39367816091954
92,testing,-16.296717171717173
93,testing,-15.248641304347826
94,testing,-15.58421052631579
95,testing,-16.266481164383563
96,testing,-15.755859375
97,testing,-15.670362903225806
98,testing,-13.293124288964732
99,testing,-15.604807692307693
100,testing,-15.868421052631579
101,testing,-16.461588541666668
102,testing,-15.87176724137931
103,testing,-15.999007936507937
104,testing,-13.098634769539078
105,testing,-16.044744318181817
106,testing,-15.402376033057852
107,testing,-15.338483146067416
108,testing,-15.97438524590164
109,testing,-16.084876543209877
110,testing,-16.213636363636365
111,testing,-15.3359375
112,testing,-15.476086956521739
113,testing,-14.938484502032521
114,testing,-15.819791666666667
115,testing,-15.203547297297296
116,testing,-14.585737179487179
117,testing,-15.86334745762712
118,testing,-16.13339552238806
119,testing,-16.236805555555556
120,testing,-15.538333333333334
121,testing,-16.18222891566265
122,testing,-16.20970394736842
123,testing,-15.571180555555555
124,testing,-16.579301075268816
125,testing,-15.759308510638299
126,testing,-15.845286885245901
127,testing,-15.73860497237569
128,testing,-15.15015243902439
129,testing,-15.587837837837839
130,testing,-15.567654639175258
131,testing,-16.351794554455445
