question_id,type,mean_score
0,testing,-50.38157894736842
1,testing,-51.73774509803921
2,testing,-55.97142857142857
3,testing,-52.25914634146341
4,testing,-51.72664835164835
5,testing,-47.04481792717087
6,testing,-50.94940476190476
7,testing,-52.151595744680854
8,testing,-47.852409638554214
9,testing,-50.86507936507937
10,testing,-51.95454545454545
11,testing,-54.11434108527132
12,testing,-51.00892857142857
13,testing,-50.76149425287356
14,testing,-53.38529411764706
15,testing,-51.0296052631579
16,testing,-50.20639534883721
17,testing,-53.04123711340206
18,testing,-53.53431372549019
19,testing,-50.848837209302324
20,testing,-54.759433962264154
21,testing,-53.501661129568106
22,testing,-52.29545454545455
23,testing,-54.29272151898734
24,testing,-49.68055555555556
25,testing,-52.46607142857143
26,testing,-50.81470588235294
27,testing,-49.8640350877193
28,testing,-51.070093457943926
29,testing,-51.944736842105264
30,testing,-51.33802816901409
31,testing,-50.629464285714285
32,testing,-51.27840909090909
33,testing,-53.19230769230769
34,testing,-51.58741258741259
35,testing,-48.62641606591143
36,testing,-53.2921875
37,testing,-48.279411764705884
38,testing,-55.70145631067961
39,testing,-51.37658227848101
40,testing,-50.26865671641791
41,testing,-52.68313953488372
42,testing,-50.77272727272727
43,testing,-52.12162162162162
44,testing,-47.47403100775194
45,testing,-51.767361111111114
46,testing,-51.424050632911396
47,testing,-47.07514693534845
48,testing,-52.92333333333333
49,testing,-52.22105263157895
50,testing,-51.392857142857146
51,testing,-52.18154761904762
52,testing,-51.0990990990991
53,testing,-52.321739130434786
54,testing,-52.19615384615385
55,testing,-48.49260042283298
56,testing,-47.46265652951699
57,testing,-52.945945945945944
58,testing,-50.04255319148936
59,testing,-51.66728395061728
60,testing,-52.3768115942029
61,testing,-50.1875
62,testing,-48.8011583011583
63,testing,-53.16025641025641
64,testing,-46.0940170940171
65,testing,-51.77272727272727
66,testing,-51.38636363636363
67,testing,-48.60068493150685
68,testing,-55.82330827067669
69,testing,-52.66803278688525
70,testing,-51.14811320754717
71,testing,-50.609550561797754
72,testing,-52.17741935483871
73,testing,-48.46027397260274
74,testing,-42.96508327024981
75,testing,-51.45175438596491
76,testing,-48.55094537815126
77,testing,-50.660714285714285
78,testing,-51.54545454545455
79,testing,-48.44894736842105
80,testing,-45.86140483383686
81,testing,-54.5609756097561
82,testing,-51.0
83,testing,-50.60843373493976
84,testing,-52.507462686567166
85,testing,-51.32183908045977
86,testing,-50.81737588652482
87,testing,-52.04824561403509
88,testing,-45.842696629213485
89,testing,-42.30482700892857
90,testing,-52.028688524590166
91,testing,-52.327586206896555
92,testing,-53.72222222222222
93,testing,-52.8731884057971
94,testing,-53.3
