question_id,type,mean_score
0,testing,6210.036363636364
1,testing,4905.76
2,testing,4602.202898550725
3,testing,5272.6
4,testing,4224.444444444444
5,testing,2988.179775280899
6,testing,5144.195121951219
7,testing,5052.0
8,testing,3500.6060606060605
9,testing,5844.983606557377
10,testing,4984.907216494846
11,testing,4741.03937007874
12,testing,5191.804878048781
13,testing,5152.564705882353
14,testing,5422.843373493976
15,testing,5370.810810810811
16,testing,5204.0
17,testing,5096.926315789474
18,testing,4891.84
19,testing,5194.857142857143
20,testing,5093.2307692307695
21,testing,3749.7792642140466
22,testing,4683.697478991597
23,testing,4382.7692307692305
24,testing,6306.153846153846
25,testing,4437.217391304348
26,testing,5143.22891566265
27,testing,6140.218181818182
28,testing,4740.114285714286
29,testing,5124.301075268817
30,testing,5551.768115942029
31,testing,6253.925925925926
32,testing,5285.953488372093
33,testing,4861.490196078431
34,testing,4315.914893617021
35,testing,2999.2982456140353
36,testing,4213.822784810127
37,testing,3481.3454545454547
38,testing,5058.059405940594
39,testing,5336.935064935065
40,testing,5700.676923076923
41,testing,5340.380952380952
42,testing,5321.173333333333
43,testing,4672.587155963302
44,testing,3095.353032659409
45,testing,5575.314285714286
46,testing,5360.415584415585
47,testing,3086.1026072329687
48,testing,5542.575342465753
49,testing,4962.408602150537
50,testing,5478.826666666667
51,testing,5244.878048780488
52,testing,4759.192660550459
53,testing,4738.690265486725
54,testing,5868.190476190476
55,testing,3409.2229299363057
56,testing,3117.189964157706
57,testing,5556.222222222223
58,testing,6887.822222222222
59,testing,3517.1017369727047
60,testing,5694.328358208955
61,testing,6220.740740740741
62,testing,3533.4474708171206
63,testing,5440.631578947368
64,testing,3688.0344827586205
65,testing,5054.845360824742
66,testing,6342.037735849057
67,testing,3586.556473829201
68,testing,4678.595419847328
69,testing,6066.71186440678
70,testing,3878.235741444867
71,testing,4992.919540229885
72,testing,5984.266666666666
73,testing,3589.7741046831957
74,testing,2733.6648976497345
75,testing,6159.418181818181
76,testing,3409.7890295358648
77,testing,5145.5609756097565
78,testing,6329.66037735849
79,testing,3408.2367864693447
80,testing,2935.7454545454543
81,testing,5445.2
82,testing,4835.265306122449
83,testing,5225.086419753086
84,testing,5794.215384615384
85,testing,3601.5519630484987
86,testing,3451.4774346793347
87,testing,6266.763636363637
88,testing,3464.3924528301886
89,testing,2556.8849162011174
90,testing,6075.661016949152
91,testing,4165.581395348837
92,testing,5137.979381443299
93,testing,5645.134328358209
94,testing,5025.204301075269
95,testing,4366.444444444444
96,testing,5867.354838709677
97,testing,5920.8
98,testing,2946.745724059293
99,testing,5872.761904761905
100,testing,4719.571428571428
101,testing,5081.702127659574
102,testing,6180.0
103,testing,5866.229508196721
104,testing,3038.390342052314
105,testing,5228.46511627907
106,testing,4585.546218487395
107,testing,4983.540229885058
108,testing,6045.28813559322
109,testing,5303.493670886076
110,testing,4765.037037037037
111,testing,5556.756756756757
112,testing,4826.761061946902
113,testing,3159.2993890020366
114,testing,6094.896551724138
115,testing,4756.9908256880735
116,testing,4055.1688311688313
117,testing,6171.228070175439
118,testing,5699.446153846154
119,testing,5138.363636363636
120,testing,5517.808219178082
121,testing,5218.37037037037
122,testing,4544.426666666666
123,testing,5588.114285714286
124,testing,5029.0989010989015
125,testing,5112.695652173913
126,testing,6049.8983050847455
127,testing,3595.1111111111113
128,testing,3560.9180327868853
129,testing,5586.888888888889
130,testing,5000.421052631579
131,testing,5034.020202020202
132,testing,6252.218181818182
133,testing,5480.648648648648
134,testing,3008.3569553805773
135,testing,5654.084507042254
136,testing,4105.284974093264
137,testing,2970.4065040650407
138,testing,5689.828571428571
139,testing,4311.342465753424
140,testing,4330.337078651685
