question_id,type,mean_score
0,testing,19307.37834694602
1,testing,17324.53988769531
2,testing,16847.6890533005
3,testing,18183.677618408205
4,testing,16429.658433702258
5,testing,13363.302836557452
6,testing,18127.455107898248
7,testing,17694.55200726053
8,testing,14303.338998875473
9,testing,18973.327564677253
10,testing,17557.74996476321
11,testing,17348.095441683072
12,testing,17749.10028225038
13,testing,17804.793135340075
14,testing,18509.53236186935
15,testing,18159.52674329603
16,testing,17655.561819893974
17,testing,17762.96708984375
18,testing,17082.325239257814
19,testing,17923.63752673921
20,testing,18114.96987210787
21,testing,15679.365678563963
22,testing,17156.362230829833
23,testing,16836.683938050883
24,testing,19357.45180100661
25,testing,16705.83992866848
26,testing,17722.581778285014
27,testing,19089.570037286932
28,testing,17078.11078404018
29,testing,17908.470918388775
30,testing,18147.454349241394
31,testing,19151.97693323206
32,testing,18029.755002043967
33,testing,17001.046803193934
34,testing,16275.998839899157
35,testing,13116.661322279735
36,testing,16170.506180775317
37,testing,14941.688279030539
38,testing,18093.88074818224
39,testing,17963.6254248681
40,testing,18755.161192908654
41,testing,18030.56428455171
42,testing,17957.79880859375
43,testing,17261.81024673882
44,testing,13003.318631232989
45,testing,18592.333963448662
46,testing,18238.87244445008
47,testing,13170.874570443913
48,testing,18164.66365448416
49,testing,17692.350234164987
50,testing,18189.62810546875
51,testing,17632.95575100038
52,testing,17296.632369015195
53,testing,17465.946280420354
54,testing,18554.120210193454
55,testing,14487.837268610669
56,testing,13645.80103545377
57,testing,18311.668938530816
58,testing,20436.449989149307
59,testing,15004.445031405086
60,testing,18458.886040986476
61,testing,18824.008201316552
62,testing,13888.387725711333
63,testing,17893.759566457647
64,testing,14451.098727522225
65,testing,17776.75274343589
66,testing,19636.815365197523
67,testing,15279.391867897728
68,testing,17687.991374940364
69,testing,19178.13090903072
70,testing,14811.966221334364
71,testing,17415.01534999102
72,testing,19011.51707356771
73,testing,15268.764086174242
74,testing,11042.959314584912
75,testing,19090.002317116476
76,testing,14520.147854446861
77,testing,17246.19499690358
78,testing,19613.571132443987
79,testing,14481.027748414377
80,testing,11588.966970732718
81,testing,18234.003485107423
82,testing,17015.104267976723
83,testing,17907.261290750386
84,testing,18695.95890925481
85,testing,15282.840707545467
86,testing,14486.276297598723
87,testing,19612.36542080966
88,testing,14513.991734227595
89,testing,10369.360142065294
90,testing,19285.420319120763
91,testing,15828.589565543241
92,testing,17933.753860945555
93,testing,18445.022541103077
94,testing,17999.34799752184
95,testing,16421.255815294055
96,testing,18561.9757749496
97,testing,19006.089029947918
98,testing,12564.959522208166
99,testing,18777.61845858135
100,testing,17440.1268964495
101,testing,18051.510009765625
102,testing,19321.22669328962
103,testing,18622.541704021518
104,testing,11665.342883472711
105,testing,18067.881183003272
106,testing,16933.193589154413
107,testing,16983.33202563757
108,testing,18907.65224443856
109,testing,17983.276929638054
110,testing,17220.13707139757
111,testing,18198.22150153083
112,testing,17363.278799951604
113,testing,13589.99050089104
114,testing,19104.39430394666
115,testing,17082.892600523224
116,testing,14232.346093115868
117,testing,19208.52767783717
118,testing,18052.553425480768
119,testing,17685.785483620384
120,testing,17872.766862425087
121,testing,17423.24063826196
122,testing,17280.331487630207
123,testing,18331.636921037945
124,testing,17441.098777687155
125,testing,17983.862214461617
126,testing,19104.80088056144
127,testing,15278.774395073784
128,testing,14295.112961065573
129,testing,18329.0913289388
130,testing,17960.33636410362
131,testing,17902.888666942865
132,testing,19464.067320667615
133,testing,18002.66761903505
134,testing,13121.377970697999
135,testing,18578.727944817343
136,testing,15906.420468345208
137,testing,12825.118365798804
138,testing,18448.95470842634
139,testing,16641.699556533604
140,testing,16689.279754981566
141,testing,18358.02900115537
142,testing,14479.98841899671
143,testing,18514.54497969778
144,testing,18891.21279296875
145,testing,17298.438810387437
146,testing,13669.154283044374
147,testing,19547.99057525059
148,testing,17551.167931598167
149,testing,17164.7684588566
150,testing,18486.44939143483
151,testing,19101.52647662985
152,testing,17714.583114448636
153,testing,17692.670603057486
154,testing,14608.164408278568
155,testing,17130.997854521782
156,testing,19234.6193296371
