question_id,type,mean_score
0,testing,26383.268199573864
1,testing,23600.6724609375
2,testing,23479.505965523098
3,testing,24791.58709716797
4,testing,21743.307709418405
5,testing,16809.771721657744
6,testing,24010.882598132623
7,testing,23639.648862092392
8,testing,19102.254249526515
9,testing,26094.57394659324
10,testing,22939.19132570876
11,testing,23893.093865342027
12,testing,24429.533179306403
13,testing,24078.21448759191
14,testing,25006.461019860693
15,testing,25027.32398120777
16,testing,23795.725027901786
17,testing,24383.324393503288
18,testing,24386.10251953125
19,testing,23648.093587239582
20,testing,24863.32579627404
21,testing,21047.935439093853
22,testing,23328.458130908613
23,testing,22523.517190004008
24,testing,26355.691744290867
25,testing,22752.028001868206
26,testing,23946.409191453313
27,testing,26144.249449573865
28,testing,23343.818154761906
29,testing,23682.790322580644
30,testing,25159.833163496376
31,testing,26409.99189814815
32,testing,23965.33924191497
33,testing,23947.94383808211
34,testing,22227.116058566047
35,testing,17754.352186330947
36,testing,23006.521298951742
37,testing,17665.3910378196
38,testing,25094.17595529084
39,testing,24917.44923143263
40,testing,25169.160486778845
41,testing,24547.032261439734
42,testing,24219.003020833334
43,testing,23055.79838911984
44,testing,17566.218206284022
45,testing,26060.515931919643
46,testing,24681.082589285714
47,testing,17373.892715287267
48,testing,25522.53064800942
49,testing,23938.517599126346
50,testing,24467.85328125
51,testing,24885.832948266005
52,testing,23051.239096545298
53,testing,23164.85032667312
54,testing,26171.498899429564
55,testing,17657.564519473195
56,testing,17491.705002870185
57,testing,25764.978597005207
58,testing,27256.494856770834
59,testing,19992.308176954095
60,testing,25612.07863514459
61,testing,25991.93502242477
62,testing,19323.090368129862
63,testing,25600.60970908717
64,testing,18524.904881970637
65,testing,23949.119946037372
66,testing,26968.01208726415
67,testing,18328.714278796488
68,testing,24193.572355081105
69,testing,26584.04867915784
70,testing,20285.151047855277
71,testing,23277.186837733476
72,testing,26511.18125
73,testing,18281.54172316202
74,testing,16202.335072735026
75,testing,26701.2634765625
76,testing,17669.759619346652
77,testing,23016.782548113566
78,testing,26915.30166568396
79,testing,17605.51060385835
80,testing,16683.18466057055
81,testing,25642.13602294922
82,testing,23344.336435746172
83,testing,23592.926311728395
84,testing,26237.34912860577
85,testing,19662.319403597718
86,testing,19565.34275720012
87,testing,26742.75330255682
88,testing,17968.387997494105
89,testing,15250.585472132507
90,testing,26387.571454581568
91,testing,21966.031925644984
92,testing,24460.854824420105
93,testing,25766.138846781716
94,testing,24196.918241767475
95,testing,21165.91276719835
96,testing,26143.734658518144
97,testing,25525.16396484375
98,testing,17421.806778702252
99,testing,26204.44232080853
100,testing,23345.510001046317
101,testing,24008.71611120346
102,testing,26592.828595842635
103,testing,25672.068567494876
104,testing,16630.715091329224
105,testing,24965.75216887718
106,testing,23144.022649684874
107,testing,23115.989673132182
108,testing,26564.52868445445
109,testing,24361.630587420885
110,testing,23729.85023328993
111,testing,25958.64651076858
112,testing,22156.571358199668
113,testing,17716.623080686735
114,testing,26469.745858028018
115,testing,23304.27246989679
116,testing,20574.440486759333
117,testing,26512.875479714912
118,testing,25026.224143629806
119,testing,23662.06873668324
120,testing,24476.867816245718
121,testing,23109.47732204861
122,testing,23529.316881510418
123,testing,25722.755998883928
124,testing,23723.068509615383
125,testing,24385.578517747963
126,testing,26312.955359507414
127,testing,18347.9724609375
128,testing,19204.895459784835
129,testing,25916.867824978297
130,testing,24054.559385279605
131,testing,24278.68861466225
132,testing,27010.877840909092
133,testing,23941.607237119933
134,testing,17676.767840848508
135,testing,25801.237455985916
136,testing,21868.99946870952
137,testing,17509.592916349084
138,testing,25700.000013950892
139,testing,22431.950061536816
140,testing,23078.24543539326
141,testing,25033.019489986797
142,testing,17601.02133018092
143,testing,25329.783524362665
144,testing,26545.8482421875
145,testing,23453.0926040338
146,testing,17639.75006133582
147,testing,26799.09728773585
148,testing,23876.553424337635
149,testing,24351.440840391355
150,testing,24900.796624904724
151,testing,25818.54251414332
152,testing,23579.490492546694
153,testing,25192.960961612655
154,testing,18009.457379124196
155,testing,22845.699238478537
156,testing,26357.890420236894
157,testing,27055.210367838543
158,testing,23435.606625853467
159,testing,25711.4716796875
160,testing,18303.96802545363
161,testing,16995.91357121086
162,testing,25335.841850385274
163,testing,23437.535994944854
164,testing,18041.196808275596
165,testing,25854.106606012658
166,testing,22682.369707440997
167,testing,17122.46295226848
168,testing,25798.35162450397
169,testing,22820.772918971237
170,testing,23371.786997027102
171,testing,26976.28698039505
172,testing,24129.109956287204
173,testing,24833.318411458335
174,testing,26331.385184151786
175,testing,21242.71808097376
176,testing,18374.25681094673
177,testing,25552.808659733953
178,testing,24407.151302083334
179,testing,18209.143000013446
180,testing,24873.490680459105
181,testing,24212.838018002716
182,testing,17699.068929792313
183,testing,26223.791256009616
184,testing,24090.179864112368
185,testing,22481.06391802226
186,testing,26282.853118896484
187,testing,23557.553395280935
188,testing,22943.881479527827
189,testing,26542.883823939734
190,testing,26368.346015625
191,testing,24623.925390625
192,testing,26647.17649298199
193,testing,18330.25331977445
194,testing,24240.213963770606
195,testing,26384.16154233871
196,testing,22717.130638860886
197,testing,24625.5875
198,testing,25072.280139661816
199,testing,21313.19502314815
200,deployment,23513.152077414772
201,deployment,20813.883924875827
202,deployment,25036.656305486507
203,deployment,23866.198132573343
204,deployment,21868.908543786336
205,deployment,24123.950272120786
206,deployment,23635.576078374335
207,deployment,21684.809566799686
208,deployment,22440.985466809005
209,deployment,20777.635438139016
210,deployment,18808.468952746538
211,deployment,26275.494893058403
212,deployment,21860.184264424246
213,deployment,23453.757491099685
214,deployment,25802.372772216797
215,deployment,25342.552397017047
216,deployment,21334.412337702408
217,deployment,22198.09365948933
218,deployment,25431.899544270833
219,deployment,26929.810188137755
220,deployment,21923.142999649048
221,deployment,21741.167252006882
222,deployment,24036.158863467263
223,deployment,24661.56559053309
224,deployment,22073.113825563523
225,deployment,22064.4582497133
226,deployment,22834.603357092128
227,deployment,23104.73693068484
228,deployment,27735.693625710228
229,deployment,19908.491756924715
230,deployment,27643.922157118057
231,deployment,21766.890756046072
232,deployment,24386.90695369945
233,deployment,22875.072748161765
234,deployment,21491.46517628637
235,deployment,19971.25630806588
236,deployment,21614.1576385772
237,deployment,24958.10122492284
238,deployment,23403.751786394816
239,deployment,21078.7621180076
240,deployment,25418.055501302082
241,deployment,22886.67583737428
242,deployment,23102.746957236843
243,deployment,22492.88179869571
244,deployment,25809.179669074292
245,deployment,23893.766539228724
246,deployment,23862.14423014323
247,deployment,23736.821087015087
248,deployment,20030.697366153494
249,deployment,23664.694308810766
250,deployment,26682.82919921875
251,deployment,21999.146624529803
252,deployment,24868.101274334018
253,deployment,22908.194518131997
254,deployment,23164.469500285824
255,deployment,24837.974609375
256,deployment,23026.384861078477
257,deployment,24973.981983129528
258,deployment,22074.93687597251
259,deployment,21852.87556997089
260,deployment,25408.91591796875
261,deployment,22104.247466216217
262,deployment,22183.062754964594
263,deployment,22884.686072716348
264,deployment,20748.54322210909
265,deployment,21715.7175745081
266,deployment,23169.234247622284
267,deployment,22132.565280123872
268,deployment,21983.057227725076
269,deployment,20346.434925426136
270,deployment,21605.476256588856
271,deployment,23625.012393727022
272,deployment,22466.17170854048
273,deployment,22849.49783863741
274,deployment,24516.9653515625
275,deployment,22432.40881677576
276,deployment,21714.679039606504
277,deployment,27996.63367280506
278,deployment,19188.16343097903
279,deployment,21680.432755140566
280,deployment,27850.364350818454
281,deployment,23157.362110760194
282,deployment,23218.794476859177
283,deployment,22163.92169300426
284,deployment,27851.31140718006
285,deployment,25633.442747395835
286,deployment,21815.925711763823
287,deployment,25994.595872145434
288,deployment,23044.987156459265
289,deployment,22608.901019370718
290,deployment,24578.258419152462
291,deployment,18219.64332596105
292,deployment,21687.618140377217
293,deployment,20574.7924558336
294,deployment,23404.250135977058
295,deployment,22203.54301120924
296,deployment,25155.18838443396
297,deployment,21838.223921040655
298,deployment,22264.644509282338
299,deployment,26125.4589453125
300,deployment,23138.96591558689
301,deployment,21419.065902944712
302,deployment,20748.54322210909
303,deployment,24681.60724954044
304,deployment,23201.044884314902
305,deployment,21308.859658694135
306,deployment,22018.0990041097
307,deployment,21735.01196805132
308,deployment,18645.75156841856
309,deployment,23109.567517089843
310,deployment,22925.03456624349
311,deployment,23766.49259765625
312,deployment,22861.89342560165
313,deployment,26372.811197916668
314,deployment,23452.058796672078
315,deployment,21775.878362885396
316,deployment,19241.241972976433
317,deployment,23369.886839657738
318,deployment,21787.493189380788
319,deployment,24081.829235951835
320,deployment,23294.270710358796
321,deployment,24190.531537224266
322,deployment,22062.075742368346
323,deployment,22127.17150342988
324,deployment,20404.49128728693
325,deployment,22959.65438627861
